,vehicle_id,time,longitude,latitude
7953,125,20,502.29,485.67
7954,126,20,682.21,270.78
7955,127,20,407.24,74.29
7956,123,21,501.03,412.73
7957,125,21,502.6,470.55
7958,126,21,693.78,271.21
7959,127,21,406.84,84.78
7960,125,22,502.91,455.11
7961,126,22,700.85,271.48
7962,127,22,406.41,96.03
7963,125,23,503.16,443.06
7964,126,23,708.43,272.22
7965,127,23,406.02,106.18
7966,125,24,504.67,434.41
7967,126,24,714.75,277.33
7968,127,24,405.61,117.04
7969,125,25,512.31,431.84
7970,126,25,715.19,285.04
7971,127,25,405.18,128.24
7972,125,26,522.87,432.46
7973,126,26,714.73,294.95
7974,127,26,404.77,139.06
7975,125,27,535.77,433.21
7976,126,27,714.19,306.49
7977,127,27,404.33,150.44
7978,125,28,550.69,434.08
7979,126,28,713.53,320.18
7980,127,28,403.93,161.04
7981,125,29,565.71,434.57
7982,126,29,712.99,336.02
7983,127,29,403.52,171.66
7984,125,30,581.21,434.88
7985,126,30,712.65,352.93
7986,127,30,403.12,182.16
7987,128,30,246.8,458.4
7988,126,31,712.39,365.56
7989,127,31,402.69,193.4
7990,128,31,247.89,460.34
7991,126,32,712.21,374.18
7992,127,32,402.26,204.68
7993,128,32,249.89,463.88
7994,126,33,712.55,378.29
7995,127,33,401.84,215.6
7996,128,33,252.93,469.27
7997,126,34,716.32,383.29
7998,127,34,401.41,226.86
7999,128,34,256.98,476.46
8000,126,35,723.2,384.1
8001,127,35,400.99,237.79
8002,128,35,262.18,485.67
8003,126,36,732.47,384.28
8004,127,36,400.68,245.98
8005,128,36,268.05,496.08
8006,126,37,743.93,384.7
8007,127,37,400.83,250.31
8008,128,37,274.9,508.23
8009,126,38,757.51,385.2
8010,127,38,404.02,255.82
8011,128,38,282.89,522.4
8012,126,39,771.02,385.71
8013,127,39,409.89,257.56
8014,128,39,291.56,537.77
8015,126,40,784.51,386.21
8016,127,40,417.95,258.14
8017,128,40,300.95,554.4
8018,126,41,798.22,386.71
8019,127,41,428.31,258.9
8020,128,41,311.58,573.25
8021,126,42,812.02,387.22
8022,127,42,438.92,259.67
8023,128,42,320.98,589.92
8024,127,43,449.43,260.43
8025,128,43,328.17,602.66
8026,127,44,459.68,261.05
8027,128,44,333.15,611.49
8028,127,45,470.76,261.53
8029,128,45,336.06,616.3
8030,127,46,481.26,261.97
8031,128,46,342.33,620.05
8032,129,46,-0.58,6.11
8033,127,47,491.86,262.41
8034,128,47,350.24,617.38
8035,129,47,1.09,26.65
8036,127,48,497.96,262.67
8037,128,48,359.74,612.47
8038,129,48,10.18,45.79
8039,127,49,506.61,263.07
8040,128,49,371.25,606.53
8041,129,49,20.85,64.33
8042,127,50,517.84,263.6
8043,128,50,385.0,599.43
8044,129,50,31.49,82.82
8045,127,51,528.75,264.13
8046,128,51,398.68,594.65
8047,129,51,42.44,101.85
8048,127,52,539.24,264.66
8049,128,52,413.77,595.19
8050,129,52,53.32,120.77
8051,127,53,549.67,265.19
8052,128,53,428.78,595.87
8053,129,53,63.9,139.16
8054,127,54,560.41,265.67
8055,128,54,443.43,596.54
8056,129,54,74.55,157.69
8057,127,55,570.94,266.02
8058,128,55,458.74,597.24
8059,129,55,85.43,176.59
8060,127,56,581.76,266.32
8061,128,56,473.19,597.9
8062,129,56,96.12,195.17
8063,127,57,592.53,266.62
8064,128,57,487.57,598.55
8065,129,57,106.95,213.99
8066,127,58,603.88,266.93
8067,128,58,502.47,599.18
8068,129,58,117.63,232.57
8069,127,59,613.99,267.2
8070,128,59,517.86,599.76
8071,129,59,128.57,251.57
8072,127,00,624.15,267.56
8073,128,00,532.1,600.28
8074,129,00,139.23,270.12
8075,127,01,634.6,268.22
8076,128,01,547.51,600.88
8077,129,01,150.18,289.23
8078,127,02,645.67,268.92
8079,128,02,562.01,601.63
8080,129,02,161.07,308.28
8081,130,02,724.18,30.89
8082,127,03,656.16,269.59
8083,128,03,575.68,602.39
8084,129,03,172.03,327.45
8085,130,03,723.56,53.64
8086,127,04,666.33,270.14
8087,128,04,584.86,602.9
8088,129,04,182.77,346.25
8089,130,04,722.92,75.3
8090,127,05,677.14,270.59
8091,128,05,589.55,603.16
8092,129,05,193.61,365.21
8093,130,05,722.03,97.27
8094,127,06,688.43,271.01
8095,128,06,596.03,603.38
8096,129,06,204.37,384.02
8097,130,06,720.7,118.96
8098,127,07,697.46,271.35
8099,128,07,604.59,603.65
8100,129,07,215.22,403.01
8101,130,07,719.5,140.68
8102,127,08,702.16,271.53
8103,128,08,615.09,604.2
8104,129,08,226.32,422.42
8105,130,08,718.78,163.2
8106,127,09,704.4,271.61
8107,128,09,627.64,605.01
8108,129,09,237.07,441.24
8109,130,09,718.26,185.55
8110,127,10,704.71,271.63
8111,128,10,642.4,605.98
8112,129,10,247.53,459.71
8113,130,10,717.69,207.54
8114,127,11,704.74,271.63
8115,128,11,656.8,606.84
8116,129,11,258.2,478.62
8117,130,11,716.82,229.94
8118,127,12,704.74,271.63
8119,128,12,671.17,607.4
8120,129,12,268.67,497.19
8121,130,12,715.93,252.7
8122,127,13,704.74,271.63
8123,128,13,683.63,607.82
8124,129,13,279.09,515.65
8125,130,13,715.43,275.46
8126,127,14,706.09,271.51
8127,128,14,692.61,608.12
8128,129,14,290.08,535.14
8129,130,14,714.6,297.69
8130,127,15,709.5,271.19
8131,128,15,697.11,608.28
8132,129,15,300.89,554.31
8133,130,15,713.55,319.73
8134,127,16,714.06,269.41
8135,128,16,702.86,606.93
8136,129,16,311.62,573.33
8137,130,16,712.87,341.9
8138,127,17,717.97,264.18
8139,128,17,707.01,600.41
8140,129,17,320.85,589.68
8141,130,17,712.41,364.76
8142,131,17,488.46,857.9
8143,127,18,718.95,257.46
8144,128,18,707.53,590.67
8145,129,18,327.87,602.12
8146,130,18,711.65,387.2
8147,131,18,488.51,856.16
8148,127,19,719.31,248.07
8149,128,19,707.77,579.32
8150,129,19,332.67,610.64
8151,130,19,710.78,409.9
8152,131,19,488.62,852.12
8153,127,20,719.76,236.62
8154,128,20,708.24,566.38
8155,129,20,336.08,616.33
8156,130,20,709.99,432.54
8157,131,20,488.77,846.69
8158,127,21,720.28,223.19
8159,128,21,708.77,551.96
8160,129,21,342.3,620.05
8161,130,21,709.16,455.09
8162,131,21,488.95,839.84
8163,127,22,720.88,207.66
8164,128,22,709.39,535.12
8165,129,22,349.0,618.02
8166,130,22,708.36,476.89
8167,131,22,489.19,831.35
8168,127,23,721.34,190.75
8169,128,23,710.06,516.94
