,vehicle_id,time,latitude,longitude
837,14,5,143.45,769.26
838,15,5,209.06,717.63
839,12,6,103.52,621.05
840,13,6,385.97,778.09
841,14,6,142.98,756.57
842,15,6,228.68,716.86
843,12,7,89.33,621.69
844,13,7,386.5,792.66
845,14,7,142.49,743.49
846,15,7,248.83,716.08
847,12,8,75.29,622.32
848,13,8,386.94,804.39
849,14,8,142.14,734.2
850,15,8,268.99,715.53
851,12,9,61.95,622.92
852,13,9,387.21,811.67
853,14,9,141.96,729.41
854,15,9,288.92,715.01
855,12,10,48.63,623.52
856,13,10,390.05,820.02
857,14,10,143.5,723.48
858,15,10,308.79,714.08
859,12,11,34.53,624.15
860,13,11,396.87,825.95
861,14,11,149.97,719.68
862,15,11,328.71,713.17
863,13,12,399.35,836.76
864,14,12,157.91,718.9
865,15,12,348.95,712.73
866,16,12,512.63,707.01
867,13,13,391.22,846.77
868,14,13,168.17,718.66
869,15,13,368.66,712.33
870,16,13,514.21,706.95
871,14,14,180.66,718.37
872,15,14,388.3,711.6
873,16,14,517.51,706.83
874,14,15,195.17,718.03
875,15,15,408.09,710.84
876,16,15,523.3,706.62
877,14,16,211.78,717.52
878,15,16,427.8,710.17
879,16,16,531.48,706.32
880,14,17,230.31,716.8
881,15,17,447.53,709.44
882,16,17,542.11,705.93
883,14,18,251.09,715.99
884,15,18,467.5,708.7
885,16,18,554.28,705.48
886,14,19,272.23,715.48
887,15,19,487.4,707.97
888,16,19,568.47,704.96
889,14,20,294.19,714.76
890,15,20,507.8,707.19
891,16,20,582.8,704.46
892,14,21,315.45,713.76
893,15,21,527.19,706.48
894,16,21,593.53,704.31
895,14,22,336.67,712.98
896,15,22,547.04,705.75
897,16,22,599.74,703.92
898,14,23,357.64,712.55
899,15,23,564.64,705.1
900,16,23,604.26,700.93
901,14,24,379.3,712.01
902,15,24,579.2,704.57
903,16,24,604.99,694.56
904,14,25,400.6,711.1
905,15,25,590.54,704.33
906,16,25,604.72,686.53
907,14,26,421.74,710.38
908,15,26,597.38,704.21
909,16,26,604.39,676.73
910,14,27,443.4,709.59
911,15,27,603.13,702.52
912,16,27,603.99,665.05
913,17,27,384.31,733.31
914,14,28,465.11,708.79
915,15,28,605.08,697.11
916,16,28,603.43,652.87
917,17,28,384.39,735.3
918,14,29,486.86,707.99
919,15,29,604.83,689.81
920,16,29,602.71,641.59
921,17,29,384.54,739.52
922,14,30,507.65,707.2
923,15,30,604.53,680.95
924,16,30,601.99,630.46
925,17,30,384.75,745.19
926,14,31,529.15,706.41
927,15,31,604.18,670.68
928,16,31,601.23,618.76
929,17,31,385.05,753.43
930,14,32,550.24,705.63
931,15,32,603.72,658.51
932,16,32,600.76,611.54
933,17,32,385.44,763.79
934,14,33,568.28,704.97
935,15,33,603,645.96
936,16,33,600.39,602.87
937,17,33,385.89,775.82
938,14,34,581.85,704.48
939,15,34,602.24,634.3
940,16,34,600.07,592.55
941,17,34,386.34,788.2
942,14,35,591.43,704.32
943,15,35,601.46,622.31
944,16,35,599.48,581.04
945,17,35,386.78,800.2
946,14,36,596.58,704.28
947,15,36,600.88,613.33
948,16,36,598.87,570.04
949,17,36,387.13,809.63
950,14,37,597.99,706.71
951,15,37,600.58,608.84
952,16,37,598.19,557.88
953,17,37,387.32,814.56
954,14,38,595.53,707.49
